product,year,mass
Non-metalic coated sheet and strip,1991,332
Railway track material,1990,232
Heavy sections (>=80mm),1990,1913
Concrete reinforced bars,1990,681
Electrical sheet and strip,1990,198
Tinmill products,1990,855
Other metal coated sheet and strip,1990,1338
Non-metalic coated sheet and strip,1990,398
Railway track material,1989,242
Heavy sections (>=80mm),1989,1926
Concrete reinforced bars,1989,702
Electrical sheet and strip,1989,202
Tinmill products,1989,961
Other metal coated sheet and strip,1989,1320
Non-metalic coated sheet and strip,1989,0
Railway track material,1988,236
Heavy sections (>=80mm),1988,1874
Concrete reinforced bars,1988,1168
Electrical sheet and strip,1988,200
Tinmill products,1988,1018
Other metal coated sheet and strip,1988,1246
Non-metalic coated sheet and strip,1988,0
Railway track material,1987,237
Heavy sections (>=80mm),1987,1945
Concrete reinforced bars,1987,950
Electrical sheet and strip,1987,0
Tinmill products,1987,1074
Other metal coated sheet and strip,1987,1105
Non-metalic coated sheet and strip,1987,0
Railway track material,1986,174
Heavy sections (>=80mm),1986,1705
Concrete reinforced bars,1986,903
Electrical sheet and strip,1986,0
Tinmill products,1986,940
Other metal coated sheet and strip,1986,947
Non-metalic coated sheet and strip,1986,0
Railway track material,1985,216
Heavy sections (>=80mm),1985,1643
Concrete reinforced bars,1985,937
Electrical sheet and strip,1985,0
Tinmill products,1985,910
Other metal coated sheet and strip,1985,0
Non-metalic coated sheet and strip,1985,0
Railway track material,1984,232
Heavy sections (>=80mm),1984,1417
Concrete reinforced bars,1984,811
Electrical sheet and strip,1984,0
Tinmill products,1984,967
Other metal coated sheet and strip,1984,0
Non-metalic coated sheet and strip,1984,0
Railway track material,1983,262
Heavy sections (>=80mm),1983,1551
Concrete reinforced bars,1983,823
Electrical sheet and strip,1983,0
Tinmill products,1983,938
Other metal coated sheet and strip,1983,0
Non-metalic coated sheet and strip,1983,0
Railway track material,1982,221
Heavy sections (>=80mm),1982,1570
Concrete reinforced bars,1982,723
Electrical sheet and strip,1982,183
Tinmill products,1982,911
Other metal coated sheet and strip,1982,563
Non-metalic coated sheet and strip,1982,183
Railway track material,1981,226
Heavy sections (>=80mm),1981,1789
Concrete reinforced bars,1981,788
Electrical sheet and strip,1981,107
Tinmill products,1981,864
Other metal coated sheet and strip,1981,595
Non-metalic coated sheet and strip,1981,141
Railway track material,1980,161
Heavy sections (>=80mm),1980,1314
Concrete reinforced bars,1980,781
Electrical sheet and strip,1980,78
Tinmill products,1980,624
Other metal coated sheet and strip,1980,381
Non-metalic coated sheet and strip,1980,99
Railway track material,1979,259
Heavy sections (>=80mm),1979,1831
Concrete reinforced bars,1979,1102
Electrical sheet and strip,1979,198
Tinmill products,1979,1152
Other metal coated sheet and strip,1979,513
Non-metalic coated sheet and strip,1979,353
Railway track material,1978,240
Heavy sections (>=80mm),1978,1520
Concrete reinforced bars,1978,1041
Electrical sheet and strip,1978,227
Tinmill products,1978,1110
Other metal coated sheet and strip,1978,403
Non-metalic coated sheet and strip,1978,281
